name,website,country,tags,store_type
Future Kind,https://www.futurekind.com,us,supplements,manufacturer
MaryRuth Organics,https://www.maryruthorganics.com,us,supplements,manufacturer
Vega,https://myvega.com,ca,supplements,manufacturer
Ritual,https://ritual.com,us,supplements,manufacturer 
Deva,https://www.devanutrition.com,us,supplements,manufacturer
Holland & Barrett,https://www.hollandandbarrett.com,gb,"food, cosmetics, supplements",reseller
Garden of Life,https://www.gardenoflife.com,us,supplements,manufacturer
Ora Organic,https://ora.organic,us,supplements,manufacturer
DR.VEGAN,https://drvegan.com,gb,supplements,manufacturer
Pure Synergy,https://thesynergycompany.com,us,supplements,manufacturer
Nourished,https://get-nourished.com,gb,supplements,manufacturer
Now Health Group,https://www.nowfoods.com,us,"food, cosmetics, supplements, pet_products",manufacturer
VeganVitality,https://vegan-vitality.co.uk/,gb,supplements,manufacturer
BioTechUSA,https://shop.biotechusa.com/collections/all/global_vegan,us,supplements,manufacturer
nutri plus,https://www.nutri-plus.de/en/good-for.../vegan-diet/,de,"food, clothing, supplements",manufacturer
Raw Vegan Mall,https://rawveganmall.ro/,ro,"food, cosmetics, clothing, supplements, household, pet_products, media",reseller
The Body Shop,https://www.thebodyshop.com/,gb,"food, cosmetics, supplements",manufacturer
Toad&Co,https://www.toadandco.com/,us,clothing,manufacturer
Urthly Vegan Market,https://www.urthlyveganmarket.com/,gb,"food, cosmetics, supplements",reseller
Vegan Essentials,https://veganessentials.com/,us,"food, cosmetics, supplements, household, pet_products",reseller
Velivery,https://www.velivery.com/,de,"food, supplements, pet_products",reseller
Vegan Leather Co,https://veganleatherco.com/,us,clothing,manufacturer
Labante,https://labante.co.uk/,gb,clothing,manufacturer
Supergoop,https://supergoop.com,us,cosmetics,manufacturer
The Ordinary,https://theordinary.com/,ca,cosmetics,manufacturer
Sun Bum,https://www.sunbum.com/,us,cosmetics,manufacturer
COSrx,https://www.cosrx.com/,kr,cosmetics,manufacturer
Immaculate Vegan,https://immaculatevegan.com/,us,"food, cosmetics, supplements",reseller
Jen&Co,https://jencohandbag.com/,us,"clothing, accessories",manufacturer
