name,website,country
Future Kind,https://www.futurekind.com,us
MaryRuth Organics,https://www.maryruthorganics.com,us
Vega,https://myvega.com,ca
Ritual,https://ritual.com,us
Deva,https://www.devanutrition.com,us
Holland & Barrett,https://www.hollandandbarrett.com,uk
Garden of Life,https://www.gardenoflife.com,us
Ora Organic,https://ora.organic,us
DR.VEGAN,https://drvegan.com,uk
Pure Synergy,https://thesynergycompany.com,us
Nourished,https://get-nourished.com,uk
Now Health Group,https://www.nowfoods.com,us
VeganVitality,https://vegan-vitality.co.uk/,uk
BioTechUSA,https://shop.biotechusa.com/collections/all/global_vegan,us
