id,title,description,handle,publishedAt,thumbnailUrl,country,viewCount,subscriberCount,hiddenSubscriberCount,videoCount
UCQNmHyGAKqzOT_JsVEs4eag,Ask Yourself,"Don't take my word for it, ask yourself.  🔴 - Live. ⭕ - Live + minimal editing.",askyourself,2015-09-10T21:40:39Z,https://yt3.ggpht.com/ytc/AIdro_mANivuv7TMzhSqAOyQvOLJVqyTQac7xrHYn0u0OD0ZlWM=s240-c-k-c0x00ffffff-no-rj,CA,1674213,21900,FALSE,144
UCOksmJqNzaYLhplfs7Sl8cA,Avi,"Listen, learn, contribute, and let's all get as close to truth as we can. Thank you for embarking on this journey with me.",avimd,2006-10-17T13:22:49Z,https://yt3.ggpht.com/ytc/AIdro_m74DrPyJUdHToedKbTH6FvdspNKM29FSozg0aPlfLAZlM=s240-c-k-c0x00ffffff-no-rj,,559242,7180,FALSE,113
UCy9yYcDx2XuVVgcWLJJDoxw,The Nutrivore, ,thenutrivore,2019-09-12T18:40:22Z,https://yt3.ggpht.com/-uhgJnpLEpbNCqIPQFcwoDpjtkHRKBf_XLeM5FZeo1UWnJoWBnNbipTRNXsiDoeyk_4ucM5JhQ=s240-c-k-c0x00ffffff-no-rj,CA,297753,3010,FALSE,273
UCr2eKhGzPhN5RPVk5dd5o3g,Vegan Gains,Plant Based diet health and fitness.,vegangains,2014-12-12T08:18:17Z,https://yt3.ggpht.com/ytc/AIdro_lYhhxNjA8GsQye1bnIFKgBsaR_jl11kf_z_5qv6CU-HU0=s240-c-k-c0x00ffffff-no-rj,CA,35943835,311000,FALSE,1248
UCGJq0eQZoFSwgcqgxIE9MHw,Mic the Vegan,"Mic the Vegan is a vegan science writer that covers a variety of topics from the health effects of a vegan diet and the environmental impact of eating animal products to the sociological phenomenon of casual animal exploitation. Based in the U.S., he regularly tackles debunking the myths that perpetuate harmful dietary and lifestyle behaviors - all with a drop of humor that only he thinks is funny.  Key facts: Mic is short for microphone and Mike/Michael, NOT MICK! Yes, his beard doesn't match his hair naturally, please don't hate. He is not a doctor but he has a Master of Public Health degree (MPH) with the goal of accurately communicating health research.  Support Mic here so he can keep making regular videos loaded with science! https://www.patreon.com/micthevegan  To contact, email mic@micthevegan.com ",micthevegan,2015-07-25T15:52:40Z,https://yt3.ggpht.com/ytc/AIdro_k_eJ2sYoc86uTL0JmbV1e1Zf9Ax1LLe5gXb7yfCTALGJI=s240-c-k-c0x00ffffff-no-rj,,54976695,401000,FALSE,574
UC3reEy6plrxgkhmhyzsLixQ,Lifting Vegan Logic,"Vegan activist and personal trainer who uses logic, reason, and sarcasm to combat anti-vegan nonsense.",liftingveganlogic,2018-01-31T20:00:57Z,https://yt3.ggpht.com/ytc/AIdro_lj8PAS12oOkAyD0iM55WsFGqJxQlfRRh91jqM3smYinBk=s240-c-k-c0x00ffffff-no-rj,US,6264254,23500,FALSE,905
UCG6usHVNuRbexyisxE27nDw,Joey Carbstrong,"Former Gang Member, Current Animal Defender • 10yrs Sober • 300mil+ Views across social media • Public Speaker • Investigator • Film Maker • Featured on 🇬🇧 BBC,ITV,TalkTV,🇦🇺Ch9,Ch7,SBS",joeycarbstrong,2013-10-11T04:50:31Z,https://yt3.ggpht.com/ytc/AIdro_nuVFn_LkHkwHUCBwaIahFEGR4Fkpmwc0s2EhJJ7XiN7LQ=s240-c-k-c0x00ffffff-no-rj,GB,40627583,159000,FALSE,1199
UCBhciyIVI2SzjXjIEPN4txg,David Ramms,"I'm a vegan activist making videos about veganism and animal rights, occasionally mocking anti-vegan nonsense. Subscribe.",davidramms,2017-11-19T14:26:29Z,https://yt3.ggpht.com/ouzfyFzRmwONEKb76o2pF1kMNzWcpE-s4E6tO6zCPtRQOAqSSC8p2j5W3OLZaXjmQEFD_ECyztQ=s240-c-k-c0x00ffffff-no-rj,ES,19377720,45000,FALSE,654
UCVRrGAcUc7cblUzOhI1KfFg,Earthling Ed,"Ed Winters is a best-selling author, vegan educator, public speaker and content creator. Ed has spoken at over 1/3 of UK universities and at every Ivy league college, including as a guest lecturer at Harvard University. In 2022, Ed taught as a Media & Design Fellow at Harvard.   He has given speeches across the world, including at the University of Cambridge, EPFL, Pinterest, LinkedIn, American Express, Google NYC, Google Ireland and Google Zürich. His speech “You Will Never Look at Your Life in the Same Way Again” has 35 million accumulative views online and has been given to thousands of students across UK universities.  Read more about Ed's work: https://earthlinged.org Ed's books: https://earthlinged.org/thisisveganpropaganda & https://howtoarguewithameateater.com/ Make Ed's work possible by becoming a supporter: https://earthlinged.org/support Organise a speech or presentation from Ed: https://earthlinged.org/contact ",ed.winters,2015-12-28T14:19:55Z,https://yt3.ggpht.com/wriCz0iqVCyU2NqevrHUQf_eVk_E5_XACid1tWea8G4lkmmJOQnVsYNavrExVAHv3Sm_kOkpN4k=s240-c-k-c0x00ffffff-no-rj,GB,57125315,454000,FALSE,357
UCt0cYZjanDigkRRlScvrxWg,VeganLinked,"VeganLinked is dedicated to helping accelerate the vegan movement through education and truth in media. The content I create is a journey into the vegan experience, the stories, the science, doctors, the activists, the diversity, and the influencers. VeganLinked is also a growing website directory; https://veganlinked.com   These videos are brought to you by Jeff of VeganLinked. If you like my work and want to help me keep the cameras rolling please consider contributing here: https://veganlinked.com/fundme/ ",veganlinked,2018-03-24T03:56:20Z,https://yt3.ggpht.com/Iex2b7j6e8GFlJJ_ZGKv8-3GJHX7ZZZm0dkNj1f3z1wxd66pix8xIPz88uwa__VOELyeBqkoxw=s240-c-k-c0x00ffffff-no-rj,US,6618191,89800,FALSE,473
